X,Y,Z
5.767228599999999860e+05,5.188183139999999665e+06,1.629399999999999977e+02
5.767237299999999814e+05,5.188182179999999702e+06,1.628199999999999932e+02
5.767246199999999953e+05,5.188181219999999739e+06,1.627100000000000080e+02
5.767254699999999721e+05,5.188180230000000447e+06,1.626400000000000148e+02
5.767263200000000652e+05,5.188179250000000000e+06,1.626100000000000136e+02
5.767271700000000419e+05,5.188178259999999776e+06,1.625900000000000034e+02
5.767280500000000466e+05,5.188177270000000484e+06,1.624900000000000091e+02
5.767289300000000512e+05,5.188176280000000261e+06,1.624399999999999977e+02
5.767298299999999581e+05,5.188175270000000484e+06,1.623499999999999943e+02
5.767306800000000512e+05,5.188174259999999776e+06,1.623499999999999943e+02
5.767315899999999674e+05,5.188173250000000000e+06,1.622599999999999909e+02
5.767324899999999907e+05,5.188172240000000224e+06,1.621899999999999977e+02
5.767334200000000419e+05,5.188171209999999963e+06,1.620800000000000125e+02
5.767357700000000186e+05,5.188168560000000522e+06,1.618400000000000034e+02
5.767370600000000559e+05,5.188167160000000149e+06,1.616800000000000068e+02
5.767380600000000559e+05,5.188166089999999851e+06,1.615399999999999920e+02
5.767390000000000000e+05,5.188165020000000484e+06,1.614399999999999977e+02
5.767398800000000047e+05,5.188163980000000447e+06,1.614600000000000080e+02
5.767408900000000140e+05,5.188162910000000149e+06,1.613000000000000114e+02
5.767419300000000512e+05,5.188161780000000261e+06,1.611400000000000148e+02
5.767428399999999674e+05,5.188160709999999963e+06,1.611200000000000045e+02
5.767438699999999953e+05,5.188159560000000522e+06,1.610200000000000102e+02
5.767138000000000466e+05,5.188193750000000000e+06,1.629900000000000091e+02
5.767147299999999814e+05,5.188192610000000335e+06,1.630399999999999920e+02
5.767155300000000279e+05,5.188191639999999665e+06,1.630699999999999932e+02
5.767163499999999767e+05,5.188190660000000149e+06,1.630800000000000125e+02
5.767171500000000233e+05,5.188189669999999925e+06,1.631599999999999966e+02
5.767179799999999814e+05,5.188188740000000224e+06,1.630699999999999932e+02
5.767216199999999953e+05,5.188184450000000186e+06,1.630500000000000114e+02
5.767224599999999627e+05,5.188183469999999739e+06,1.630000000000000000e+02
5.767233399999999674e+05,5.188182530000000261e+06,1.628700000000000045e+02
5.767242099999999627e+05,5.188181560000000522e+06,1.627700000000000102e+02
5.767250999999999767e+05,5.188180600000000559e+06,1.626500000000000057e+02
5.767259400000000605e+05,5.188179620000000112e+06,1.626100000000000136e+02
5.767268000000000466e+05,5.188178629999999888e+06,1.625699999999999932e+02
5.767276600000000326e+05,5.188177629999999888e+06,1.625300000000000011e+02
5.767285300000000279e+05,5.188176620000000112e+06,1.624600000000000080e+02
5.767294200000000419e+05,5.188175620000000112e+06,1.623900000000000148e+02
5.767303200000000652e+05,5.188174629999999888e+06,1.623300000000000125e+02
5.767312000000000698e+05,5.188173549999999814e+06,1.623100000000000023e+02
5.767321500000000233e+05,5.188172560000000522e+06,1.621800000000000068e+02
5.767330300000000279e+05,5.188171540000000037e+06,1.621400000000000148e+02
5.767340300000000279e+05,5.188170400000000373e+06,1.620399999999999920e+02
5.767360999999999767e+05,5.188168120000000112e+06,1.618000000000000114e+02
5.767373499999999767e+05,5.188166740000000224e+06,1.616400000000000148e+02
5.767383399999999674e+05,5.188165669999999925e+06,1.615000000000000000e+02
5.767392500000000000e+05,5.188164629999999888e+06,1.614600000000000080e+02
5.767401900000000605e+05,5.188163549999999814e+06,1.613900000000000148e+02
5.767411900000000605e+05,5.188162459999999963e+06,1.612599999999999909e+02
5.767421900000000605e+05,5.188161360000000335e+06,1.611200000000000045e+02
5.767431300000000047e+05,5.188160299999999814e+06,1.610900000000000034e+02
5.767441700000000419e+05,5.188159139999999665e+06,1.609200000000000159e+02
5.767139599999999627e+05,5.188193450000000186e+06,1.630200000000000102e+02
5.767148399999999674e+05,5.188192360000000335e+06,1.630999999999999943e+02
5.767156600000000326e+05,5.188191410000000149e+06,1.630699999999999932e+02
5.767164599999999627e+05,5.188190440000000410e+06,1.630900000000000034e+02
5.767172600000000093e+05,5.188189440000000410e+06,1.631700000000000159e+02
5.767180899999999674e+05,5.188188520000000484e+06,1.630600000000000023e+02
5.767215300000000279e+05,5.188184440000000410e+06,1.630500000000000114e+02
5.767224100000000326e+05,5.188183429999999702e+06,1.630000000000000000e+02
5.767232900000000373e+05,5.188182480000000447e+06,1.628700000000000045e+02
5.767241500000000233e+05,5.188181520000000484e+06,1.627700000000000102e+02
5.767250500000000466e+05,5.188180549999999814e+06,1.626400000000000148e+02
5.767258900000000140e+05,5.188179570000000298e+06,1.626100000000000136e+02
5.767267500000000000e+05,5.188178589999999851e+06,1.625699999999999932e+02
5.767276099999999860e+05,5.188177580000000075e+06,1.625300000000000011e+02
5.767284699999999721e+05,5.188176589999999851e+06,1.624699999999999989e+02
5.767293499999999767e+05,5.188175589999999851e+06,1.623900000000000148e+02
5.767302399999999907e+05,5.188174570000000298e+06,1.623499999999999943e+02
5.767311099999999860e+05,5.188173570000000298e+06,1.623199999999999932e+02
5.767320600000000559e+05,5.188172560000000522e+06,1.621899999999999977e+02
5.767329300000000512e+05,5.188171540000000037e+06,1.621400000000000148e+02
5.767338900000000140e+05,5.188170459999999963e+06,1.620600000000000023e+02
5.767358299999999581e+05,5.188168330000000075e+06,1.618300000000000125e+02
5.767369899999999907e+05,5.188167009999999776e+06,1.616800000000000068e+02
5.767379899999999907e+05,5.188165969999999739e+06,1.615399999999999920e+02
5.767389400000000605e+05,5.188164889999999665e+06,1.614600000000000080e+02
5.767398200000000652e+05,5.188163850000000559e+06,1.614600000000000080e+02
5.767408200000000652e+05,5.188162730000000447e+06,1.613000000000000114e+02
5.767418599999999860e+05,5.188161650000000373e+06,1.611500000000000057e+02
5.767428000000000466e+05,5.188160570000000298e+06,1.611200000000000045e+02
5.767437600000000093e+05,5.188159469999999739e+06,1.610200000000000102e+02
5.767448900000000140e+05,5.188158290000000037e+06,1.607899999999999920e+02
5.767145999999999767e+05,5.188192580000000075e+06,1.630399999999999920e+02
